name,description,price
Chinese Foods - Chicken Wing,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1
"Lemonade - Mandarin, 591 Ml",Nunc rhoncus dui vel sem.,20
"Loaf Pan - 2 Lb, Foil","Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",10
"Vermouth - White, Cinzano","Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",15
"Crab - Claws, Snow 16 - 24","Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2
Yams,Duis bibendum.,1
Anchovy Fillets,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",5
Cheese - Swiss Sliced,Nam dui.,7
Wine - Niagara Peninsula Vqa,Morbi quis tortor id nulla ultrices aliquet.,13
Rabbit - Legs,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",5
Chocolate Eclairs,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,5
"Water - Mineral, Natural","Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",12
Zucchini - Yellow,Donec dapibus.,19
Loquat,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,19
Butter - Unsalted,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1
"Soup - Knorr, Ministrone",Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,14
Boogies,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",7
Towels - Paper / Kraft,Suspendisse potenti.,15
Cinnamon - Ground,Pellentesque viverra pede ac diam.,18
Wine - Gato Negro Cabernet,Nullam varius. Nulla facilisi.,15
Sugar - Fine,Nullam sit amet turpis elementum ligula vehicula consequat.,4
Sauce - Hp,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,17
"Sprite, Diet - 355ml","Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",8
Pastry - Banana Muffin - Mini,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",6
Mint - Fresh,Morbi vel lectus in quam fringilla rhoncus.,19
"Soup - Campbells, Classic Chix",Suspendisse accumsan tortor quis turpis.,12
Bread - Flat Bread,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",4
Wine - Rosso Toscano Igt,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,4
"Nut - Pecan, Halves",Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,6
Lychee,Integer ac neque.,17
Wine - Ruffino Chianti Classico,Nunc nisl.,13
Tart - Pecan Butter Squares,In sagittis dui vel nisl. Duis ac nibh.,4
Spice - Paprika,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",17
Sobe - Liz Blizz,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",9
Pepper - Pablano,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2
Smoked Tongue,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,3
Wine - Dubouef Macon - Villages,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",6
Wine - Rubyport,Cras in purus eu magna vulputate luctus.,7
Flavouring - Raspberry,In sagittis dui vel nisl.,17
Sprouts - China Rose,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,10
Spinach - Baby,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,20
"Cheese - Mozzarella, Buffalo",Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,10
"Beans - Turtle, Black, Dry","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",11
Truffle - Whole Black Peeled,Suspendisse ornare consequat lectus.,7
Rice - Aborio,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",15
Clam - Cherrystone,Nullam varius. Nulla facilisi.,3
Scrubbie - Scotchbrite Hand Pad,Ut tellus. Nulla ut erat id mauris vulputate elementum.,9
"Artichokes - Knobless, White","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",17
Bread - Corn Muffaleta Onion,Proin at turpis a pede posuere nonummy.,18
Chervil - Fresh,Phasellus in felis.,12
Wine - Riesling Dr. Pauly,Nulla nisl. Nunc nisl.,15
Lady Fingers,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",14
Coffee - Irish Cream,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,18
Seabream Whole Farmed,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",12
Kiwano,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,20
Milk - Condensed,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",17
Tomato Paste,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,14
Nantucket - Kiwi Berry Cktl.,Praesent lectus.,15
Lettuce - Red Leaf,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",16
Salt - Sea,In congue. Etiam justo.,6
Wine - Soave Folonari,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",16
Nutmeg - Ground,Vestibulum rutrum rutrum neque.,6
"Cod - Salted, Boneless",Nunc nisl.,17
Cognac - Courvaisier,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",4
"Juice - Grapefruit, 341 Ml","Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",9
Daikon Radish,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1
Compound - Strawberry,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,10
Venison - Liver,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",5
"Appetizer - Spring Roll, Veg",Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,9
Orange - Blood,Suspendisse ornare consequat lectus.,9
Steampan - Foil,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,5
Wine - Dubouef Macon - Villages,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,14
"Pasta - Lasagne, Fresh","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",19
Aromat Spice / Seasoning,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",5
"Cheese - Brie, Triple Creme",Quisque porta volutpat erat.,11
"Yogurt - Cherry, 175 Gr",Aenean sit amet justo. Morbi ut odio.,11
Dr. Pepper - 355ml,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",4
Veal - Kidney,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",20
Flour - Masa De Harina Mexican,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",17
Pea - Snow,Aenean sit amet justo. Morbi ut odio.,14
"Rice Pilaf, Dry,package",Pellentesque viverra pede ac diam.,14
"Pail - 15l White, With Handle","Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",5
Wine - Rioja Campo Viejo,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,4
Ecolab - Ster Bac,Nunc nisl.,9
Energy Drink - Franks Pineapple,Integer ac neque. Duis bibendum.,15
Sauce - Sesame Thai Dressing,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2
"Juice - Clam, 46 Oz","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",12
"Trout - Rainbow, Frozen","Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",15
Beer - Heinekin,Mauris ullamcorper purus sit amet nulla.,13
Shiro Miso,Maecenas tincidunt lacus at velit.,4
Venison - Denver Leg Boneless,Quisque ut erat. Curabitur gravida nisi at nibh.,15
Apple - Granny Smith,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",11
Curry Powder,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",20
Oil - Canola,Proin risus. Praesent lectus.,7
Lamb Rack Frenched Australian,Sed accumsan felis. Ut at dolor quis odio consequat varius.,11
"Yogurt - Peach, 175 Gr",Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,20
Cheese - Perron Cheddar,Morbi quis tortor id nulla ultrices aliquet.,6
"Soup - Knorr, Country Bean","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",15
Chicken Breast Halal,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",12
Mustard Prepared,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,1
